line;timestmp;depth (m);bitdepth (m);hook_load (klb);wob (klb);rpm;torque;rop ;flowin (gal/stk);spp (psi);ChockePressure (psi);flowout (%);SPM1 (spm);SPM2 (spm);pitlevel1 (bbl);pitlevel2 (bbl);pitlevel3 (bbl);;pitlevel4 (bbl);pitlevel5 (bbl);pitlevel6 (bbl);pitlevel7 (bbl);totalpitlevel (bbl);RPMAnalog;BlockPosition;RPMTotal;H2S (ppm)
0;00:00;381,84;381,84;59,51;11,18;2002,49;1,52;558,9;1395;0;;96;75;0;5;0;61;;18;15;15;23;94;97,5;0,7;103,1;0
1;00:01;382,63;382,63;61,07;12,35;2137,07;1,7;556,7;1400;0;;95;76;0;5;0;51;;32;17;37;16;100;97,6;0,6;103,1;0
2;00:02;383,42;383,42;60,64;6,84;2299,19;1,4;556,7;1408;0;;95;76;0;5;0;46;;14;13;18;10;73;97,5;0,6;103,1;0
3;00:03;384,51;384,51;62,37;7,32;2379,25;0,93;552,4;1415;0;;95;75;0;5;0;51;;50;15;9;16;116;97,5;0,7;103,2;0
4;00:04;385,59;385,59;62,41;6,88;2269,46;0,95;550,3;1412;0;;93;76;0;5;0;49;;14;14;16;13;77;97,5;0,6;103,1;0
5;00:05;386,64;386,64;62,3;7,31;2252,01;0,96;552,4;1412;0;;95;75;0;5;0;39;;33;14;18;16;86;97,5;0,7;103,1;0
6;00:06;387,66;387,66;62,19;9,05;2218,72;1;556,7;1412;0;;95;76;0;5;0;46;;21;13;16;15;80;97,5;0,7;103,2;0
7;00:07;388,65;388,65;61,74;8,6;2165,4;1,02;550,3;1412;0;;93;76;0;5;0;46;;21;13;16;15;80;97,6;0,6;103,2;0
8;00:08;389,6;389,6;61,26;8,69;2258,45;1,07;546;1413;0;;93;75;0;5;0;52;;23;15;17;10;90;97,4;0,7;103,1;0
9;00:09;389,65;389,03;67,11;0;332,51;0,76;561,1;1335;0;;95;78;0;5;0;44;;13;14;14;14;71;97,3;0,7;103,3;0
10;00:10;389,65;388,12;68,41;0;2,43;0;563,2;1324;0;;96;76;0;5;0;36;;18;12;14;17;66;97,5;0,7;103,2;0
11;00:11;389,65;383,47;68,8;0;54,3;0;567,5;1320;0;;96;78;0;5;0;36;;17;11;16;15;64;97,5;0,6;103,1;0
12;00:12;389,65;388,96;68,5;0;10,51;0;574;1322;0;;98;78;0;5;0;52;;14;11;20;16;77;97,4;0,6;103,1;0
13;00:13;389,65;388,96;68,86;0;0,39;0;567,5;1318;0;;96;78;0;5;0;58;;39;11;16;20;108;97,4;0,7;103,1;0
14;00:14;389,65;388,96;68,88;0;29,15;0;561,1;1317;0;;95;78;0;5;0;58;;39;11;16;20;108;97,6;0,7;103,2;0
15;00:15;389,65;385,13;68,97;0;5,75;0;569,7;1314;0;;98;76;0;5;0;46;;0;16;12;17;62;97,7;0,6;103,2;0
16;00:16;389,65;377,04;56,22;0;0;0;0;242;0;;0;0;0;5;0;62;;42;17;20;19;121;97,2;0,6;103,1;0
17;00:17;389,65;377,04;10,68;0;46,44;0;0;0;0;;0;0;0;5;0;45;;18;15;14;15;78;94,6;0,7;103,1;0
18;00:18;389,65;377,04;12,1;0;0;0;0;0;0;;0;0;0;5;0;73;;8;17;17;19;98;92,9;0,7;103,2;0
19;00:19;389,65;377,04;12,03;0;0;0;0;0;0;;0;0;0;5;0;48;;0;18;12;18;66;92,2;0,7;103,1;0
20;00:20;389,65;377,46;26,86;0;0;0;129,2;0;0;;35;0;0;5;0;46;;43;15;18;18;104;91,8;0,7;103,1;0
21;00:21;389,65;388,28;70,85;0;0;0;457,8;710;0;;63;82;0;5;0;46;;43;15;18;18;104;92;0,6;103,1;0
22;00:22;389,65;388,53;70,41;0;65,87;0;567,5;1069;0;;96;78;0;5;0;54;;0;15;18;16;69;94,3;0,7;103,2;0
23;00:23;389,85;389,85;69,58;5,65;63,38;0,06;567,5;1303;0;;96;78;0;5;0;32;;76;11;51;14;119;96,3;0,7;103,2;0
24;00:24;390,44;390,44;64,08;8,04;1492,99;1,73;550,3;1360;0;;93;76;0;5;0;58;;21;15;19;16;94;97,5;0,7;103,2;0
25;00:25;391,42;391,42;61,34;9,39;2436,03;1,04;546;1406;0;;93;75;0;5;0;65;;44;15;14;98;124;97,6;0,7;103,2;0
26;00:26;392,51;392,51;62,55;7,51;2274,12;0,94;550,3;1400;0;;93;76;0;5;0;70;;19;16;16;22;105;97,6;0,7;103,1;0
27;00:27;393,55;393,55;63,38;7,06;2134,28;0,97;550,3;1395;0;;93;76;0;5;0;70;;19;16;16;22;105;97,5;0,7;103,2;0
28;00:28;394,17;394,17;61,91;9,4;1673,34;1,42;556,7;1376;0;;95;76;0;5;0;81;;0;18;20;14;99;97,5;0,6;103,2;0
29;00:29;394,44;394,44;61,06;9,8;1528,12;4,24;556,7;1370;0;;95;76;0;5;0;54;;14;16;15;15;84;97,6;0,6;103,2;0
30;00:30;394,61;394,61;60,18;9,45;1485,55;4,04;556,7;1367;0;;95;76;0;5;0;67;;53;14;15;42;134;97,6;0,7;103,2;0
31;00:31;395,24;395,24;62,28;7,16;1907,57;2,91;546;1387;0;;93;75;0;5;0;13;;0;16;14;17;29;97,5;0,7;103,1;0
32;00:32;396,08;396,08;62,09;10,47;1934,38;1,14;550,3;1392;0;;93;76;0;5;0;40;;0;18;12;17;58;97,6;0,7;103,1;0
33;00:33;396,54;396,54;61,35;7,17;1819,15;2,36;556,7;1383;0;;95;76;0;5;0;69;;20;17;79;19;106;97,5;0,7;103;0
34;00:34;397,24;397,24;62,55;8,68;1805,17;1,57;546;1384;0;;93;75;0;5;0;69;;20;17;79;19;106;97,3;0,7;103,2;0
35;00:35;398,15;398,15;62,42;8,02;2135,37;1,13;546;1399;0;;93;75;0;5;0;20;;0;15;18;13;35;97,3;0,7;103,1;0
36;00:36;398,98;398,98;62,16;3,68;2279,54;1,12;552,4;1408;0;;95;75;0;5;0;138;;0;15;15;10;153;97,3;0,6;103,1;0
37;00:37;398,98;390,76;68,98;0;64,74;0,84;574;1313;0;;98;78;0;5;0;40;;13;10;19;7;63;97,5;0,7;103,2;0
38;00:38;398,98;396,64;68,83;0;95,52;0;563,2;1317;0;;96;76;0;5;0;80;;11;11;14;12;102;97,6;0,6;103;0
39;00:39;398,98;390,02;69,49;0;15,07;0;563,2;1309;0;;96;76;0;5;0;151;;66;11;54;8;228;97,8;0,6;103,2;0
40;00:40;398,98;395,73;68,87;0;75,72;0;563,2;1314;0;;96;76;0;5;0;98;;56;12;6;17;166;97,6;0,7;103;0
41;00:41;398,98;398,3;69,16;0;16,6;0;569,7;1310;0;;98;76;0;5;0;98;;56;12;6;17;166;97,7;0,7;103;0
42;00:42;398,98;388,21;70,28;0;0;0;242,5;910;0;;0;89;0;5;0;24;;38;20;37;11;82;97,6;0,7;103,1;0
43;00:43;398,98;386,3;38,1;0;0;0;0;49;0;;0;0;0;5;0;53;;0;15;11;587;68;96;0,7;103,1;0
44;00:44;398,98;386,3;10,26;0;28,21;0;0;0;0;;0;0;0;5;0;38;;0;12;11;19;50;93,7;0,7;103,1;0
45;00:45;398,98;386,3;12,28;0;0;0;0;0;0;;0;0;0;5;0;88;;58;16;68;19;162;92,6;0,6;103,1;0
46;00:46;398,98;386,05;12,07;0;0;0;0;0;0;;0;0;0;5;0;80;;39;14;15;16;133;92,1;0,7;103,1;0
47;00:47;398,98;386,05;10,94;0;0;0;0;0;0;;0;0;0;5;0;56;;12;18;10;13;86;91,8;0,7;103,1;0
48;00:48;398,98;397,29;67,21;0;0;0;457,8;440;0;;63;82;0;5;0;56;;12;18;10;13;86;91,7;0,6;103,1;0
49;00:49;398,98;397,33;70,58;0;0;0;457,8;908;0;;63;82;0;5;0;57;;15;14;11;45;86;93,6;0,6;103,2;0
50;00:50;398,98;397,35;70,31;0;91,6;0;567,5;1058;0;;96;78;0;5;0;65;;4;16;16;12;85;95,5;0,7;103,2;0
51;00:51;398,98;398,34;70,33;0;20,57;0;543,8;1320;0;;91;76;0;5;0;59;;28;13;15;60;100;96,5;0,7;103,2;0
52;00:52;399,17;399,17;67,27;7,41;791,59;0,15;552,4;1349;0;;95;75;0;5;0;64;;21;17;37;14;102;97,3;0,6;103,2;0
53;00:53;400,27;400,27;61,95;7,94;2669,21;0,97;546;1434;0;;93;75;0;5;0;69;;0;16;0;122;85;97,6;0,6;103,1;0
54;00:54;400,51;400,51;57,87;11,13;1487,72;2,48;556,7;1386;0;;95;76;0;5;0;78;;9;11;3;23;98;97,5;0,7;103,1;0
55;00:55;400,88;400,88;61,36;9,49;1719,91;4,68;563,2;1392;0;;96;76;0;5;0;78;;9;11;3;23;98;97,5;0,6;103,2;0
56;00:56;401,63;401,63;61,87;8,7;2171,2;1,58;556,7;1415;0;;95;76;0;5;0;77;;9;11;10;15;97;97,6;0,6;103,2;0
57;00:57;402,12;402,12;60,2;11,99;1784,46;1,74;569,7;1402;0;;98;76;0;5;0;52;;20;17;13;9;89;97,6;0,7;103,1;0
58;00:58;402,18;402,18;59,76;10,19;1027,87;6,1;552,4;1366;0;;112;75;0;5;0;92;;40;13;14;39;145;97,6;0,6;103,1;0
59;00:59;402,72;402,72;62,07;9,6;2021,83;4,12;552,4;1410;0;;113;75;0;5;0;94;;19;13;11;11;126;97,6;0,7;103,1;0
60;01:00;403,08;403,08;60,66;10,32;1730,75;2,23;563,2;1400;0;;111;76;0;5;0;92;;22;15;12;12;129;97,6;0,6;103,2;0
61;01:01;403,47;403,47;61,98;5,86;1619,09;4,1;563,2;1394;0;;111;76;0;5;0;72;;24;9;29;11;105;97,5;0,7;103,2;0
62;01:02;404,52;404,52;62,96;6,22;2319,06;1,03;552,4;1423;0;;112;75;0;5;0;82;;24;9;29;11;115;97,4;0,7;103,2;0
63;01:03;405,13;405,13;61,05;9,15;2004,25;1,52;556,7;1410;0;;111;76;0;5;0;77;;5;12;23;77;94;97,4;0,6;103,2;0
64;01:04;405,33;405,33;59,73;10,49;1642,3;4;556,7;1393;0;;110;76;0;5;0;81;;5;14;7;11;100;97,3;0,6;103,1;0
65;01:05;405,92;405,92;61,91;7,82;2142,09;3,21;552,4;1412;0;;112;75;0;5;0;92;;79;17;24;107;188;97,4;0,6;103,2;0
66;01:06;406,83;406,83;62,01;7,41;2199,51;1,12;348,9;1417;0;;113;0;0;5;0;93;;47;13;24;14;153;97,4;0,6;103,1;0
67;01:07;407,72;407,72;61,81;7,37;2595,5;1,16;348,9;1435;0;;113;0;0;5;0;95;;5;8;89;12;108;97,3;0,6;103,1;0
68;01:08;407,97;407,97;66,9;0,57;907,75;2,4;335,9;1366;0;;112;0;0;5;0;94;;60;14;23;11;168;97,3;0,6;103,1;0
69;01:09;407,97;406,18;69,67;0;99,86;5,9;361,8;1331;0;;98;0;0;5;0;28;;55;14;17;11;97;97,6;0,6;103,1;0
70;01:10;407,97;404,06;69,64;0;91,73;0;348,9;1337;0;;95;0;0;5;0;79;;0;12;0;154;91;97,5;0,7;103,1;0
71;01:11;407,97;403,96;69,71;0;44,7;0;361,8;1332;0;;98;0;0;5;0;0;;52;10;29;17;62;97,5;0,7;103,1;0
72;01:12;407,97;402,35;69,82;0;62,59;0;323;1329;0;;88;0;0;5;0;41;;43;18;0;9;102;97,4;0,6;103,2;0
73;01:13;407,97;407,34;69,66;0;0,76;0;335,9;1330;0;;91;0;0;5;0;95;;30;14;9;131;139;97,6;0,6;103,2;0
74;01:14;407,97;407,34;69,89;0;0;0;355,3;1325;0;;96;0;0;5;0;82;;0;16;22;20;98;97,7;0,6;103,2;0
75;01:15;407,97;401,51;70,13;0;0;0;355,3;1321;0;;96;0;0;5;0;94;;0;19;16;129;113;97,6;0,7;103,2;0
76;01:16;407,97;395,28;58,41;0;0;0;0;204;0;;0;0;0;5;0;94;;0;19;16;129;113;96,9;0,6;103,1;0
77;01:17;407,97;395,28;10,34;0;23,02;0;0;0;0;;0;0;0;5;0;52;;0;24;15;4;76;94,2;0,7;103,2;0
78;01:18;407,97;395,28;11,52;0;0;0;0;0;0;;0;0;0;5;0;0;;46;16;0;11;62;92,8;0,7;103,1;0
79;01:19;407,97;395,28;12,03;0;0;0;0;0;0;;0;0;0;5;0;93;;0;15;11;19;108;92,1;0,6;103,1;0
80;01:20;407,97;395,05;21,6;0;0;0;58,1;0;0;;16;0;0;5;0;79;;154;0;0;17;233;91,8;0,6;103,1;0
81;01:21;407,97;403,19;72,23;0;0;0;232,6;734;0;;63;0;0;5;0;37;;44;5;129;17;86;92;0,7;103,1;0
82;01:22;407,97;407,16;71,45;0;64,52;0;348,9;993;0;;95;0;0;5;0;84;;76;17;58;12;177;94,3;0,7;103,2;0
83;01:23;407,97;407,82;70,96;0;34,79;0;355,3;1296;0;;96;0;0;5;0;84;;76;17;58;12;177;96,1;0,6;103,1;0
84;01:24;408,4;408,4;68,27;5,87;779,38;1,44;348,9;1324;0;;95;0;0;5;0;37;;0;13;11;16;50;97,2;0,7;103,2;0
85;01:25;409,16;409,16;62,22;7,14;2524,67;1,3;342,4;1401;0;;93;0;0;5;0;180;;81;15;10;84;276;97,4;0,7;103,1;0
86;01:26;409,42;409,42;61,2;9,12;1566,08;2,89;348,9;1361;0;;95;0;0;5;0;29;;37;5;18;15;71;97,4;0,6;103,2;0
87;01:27;409,55;409,55;60,94;8,86;1383,89;6,29;348,9;1353;0;;95;0;0;5;0;0;;0;8;0;0;8;97,4;0,6;103,2;0
88;01:28;410,12;410,12;63,06;10,07;1747,38;2,5;348,9;1371;0;;95;0;0;5;0;365;;6;20;103;3;391;97,5;0,6;103,2;0
89;01:29;410,17;410,17;61,22;9,12;845,95;4,82;348,9;1334;0;;95;0;0;5;43;0;;0;20;119;0;20;97,5;0,6;103,2;0
90;01:30;410,28;410,28;61,01;9,1;1287,76;9,48;348,9;1351;0;;95;0;0;5;43;0;;0;20;119;0;20;97,6;0,6;103,1;0
91;01:31;410,43;410,43;61;9,28;1471,95;9,3;348,9;1361;0;;95;0;0;5;0;41;;7;11;97;18;59;97,6;0,6;103;0
92;01:32;410,62;410,62;61,37;5,77;1463,88;2,79;342,4;1358;0;;93;0;0;5;0;50;;42;21;36;81;113;97,6;0,7;103,2;0
93;01:33;411,21;411,21;62,51;8,8;1997,85;1,88;348,9;1384;0;;95;0;0;5;0;121;;0;14;0;14;135;97,6;0,6;103,2;0
94;01:34;411,44;411,44;61,68;8,93;1413,47;2,05;348,9;1357;0;;95;0;0;5;0;29;;12;13;40;8;54;97,4;0,6;103,1;0
95;01:35;412,15;412,15;62,37;8,75;2479,48;1,56;335,9;1404;0;;91;0;0;5;0;103;;0;68;6;17;171;97,3;0,7;103,2;0
96;01:36;413,01;413,01;62,18;7,58;2729,91;1,22;335,9;1417;0;;91;0;0;5;0;2;;120;14;53;12;136;97,3;0,6;103,1;0
97;01:37;413,89;413,89;62,22;8,98;2769,72;1,14;335,9;1418;0;;91;0;0;5;0;2;;120;14;53;12;136;97,3;0,6;103,2;0
98;01:38;414,74;414,74;62,29;7,76;2751,73;1,2;335,9;1421;0;;91;0;0;5;0;113;;117;15;18;19;245;97,3;0,6;103,1;0
99;01:39;415,69;415,69;63,07;6,92;2571,12;1,1;539,5;1413;0;;91;75;0;5;0;33;;20;16;14;92;69;97,3;0,6;103,2;0
100;01:40;416,63;416,63;63,38;6,29;2429,22;1,07;539,5;1407;0;;91;75;0;5;0;99;;65;18;18;12;182;97,3;0,6;103,1;0
101;01:41;417,47;417,47;63,82;6,83;2169,51;1,22;546;1398;0;;93;75;0;5;0;35;;27;16;11;68;78;97,4;0,6;103,1;0
102;01:42;417,8;414,08;67,24;0;1001,72;1,25;567,5;1350;0;;96;78;0;5;0;77;;0;7;14;14;84;97,4;0,6;103,1;0
103;01:43;417,8;415,89;69,86;0;68,94;0;567,5;1319;0;;96;78;0;5;0;34;;12;16;0;19;62;97,3;0,6;103,1;0
104;01:44;417,8;409,21;70,45;0;50,99;0;563,2;1310;0;;96;76;0;5;0;34;;12;16;0;19;62;97,6;0,6;103,1;0
105;01:45;417,8;417,21;69,86;0;24,1;0;567,5;1313;0;;96;78;0;5;189;68;;44;31;10;14;143;97,5;0,6;103,1;0
106;01:46;417,8;417,21;70,3;0;1,22;0;563,2;1305;0;;96;76;0;5;9;135;;1;9;0;5;145;97,6;0,6;103,1;0
107;01:47;417,8;415,3;70,48;0;2,88;0;567,5;1303;0;;96;78;0;5;199;0;;15;19;75;7;34;97,6;0,6;103,1;0
108;01:48;417,8;404,92;72,86;0;0;0;0;375;0;;0;0;0;5;0;50;;0;81;7;33;131;97,1;0,6;103,1;0
109;01:49;417,8;405,1;15,13;0;23,69;0;0;0;0;;0;0;0;5;105;14;;141;14;13;67;169;94,7;0,7;103,1;0
110;01:50;417,8;405,1;11,8;0;0;0;0;0;0;;0;0;0;5;104;95;;72;11;10;0;178;93;0,6;103,1;0
111;01:51;417,8;405,1;11,99;0;0;0;0;0;0;;0;0;0;5;104;95;;72;11;10;0;178;92,2;0,6;103,2;0
112;01:52;417,8;405,1;11,17;0;0;0;0;0;0;;0;0;0;5;113;0;;89;1;69;10;90;91,8;0,6;103;0
113;01:53;417,8;405,31;36,22;0;0;0;25,8;0;0;;7;0;0;5;118;74;;0;11;11;223;85;91,7;0,6;103,1;0
114;01:54;417,8;416,43;72,53;0;0;0;457,8;646;0;;63;82;0;5;178;8;;70;499;98;0;577;91,9;0,6;103,1;0
115;01:55;417,8;416,46;71,91;0;64,79;0;533,1;938;0;;86;79;0;5;124;18;;48;18;0;7;84;94,2;0,6;103,1;0
116;01:56;417,8;416,61;71,35;0;47,68;0;561,1;1283;0;;95;78;0;5;116;106;;137;13;159;13;256;95,9;0,6;103;0
117;01:57;418;418;71,26;2,98;76,22;0,05;556,7;1284;0;;95;76;0;5;115;53;;53;13;7;16;119;96,9;0,6;103,2;0
118;01:58;418,36;418,36;67,74;0;1016,06;1,78;567,5;1320;0;;96;78;0;5;115;53;;53;13;7;16;119;97,4;0,6;103,1;0
119;01:59;418,39;418,39;70,91;2,48;85,77;5,02;567,5;1280;0;;96;78;0;5;92;49;;66;14;58;0;129;97,5;0,6;103,1;0
120;02:00;419,35;419,35;64,62;5,41;2253,94;2,66;543,8;1375;0;;91;76;0;5;114;81;;0;18;11;18;99;97,5;0,6;103;0
121;02:01;420,11;420,11;63,57;4,59;2114,97;1,28;539,5;1374;0;;91;75;0;5;85;101;;0;6;9;9;107;97,5;0,6;103,1;0
122;02:02;420,9;420,9;62,61;9,39;2318,5;1,32;554,6;1385;0;;93;78;0;5;102;55;;0;17;5;10;72;97,5;0,6;103,1;0
123;02:03;421,44;421,44;63,74;5,37;1665,29;2,49;539,5;1357;0;;91;75;0;5;100;51;;37;4;0;14;92;97,5;0,7;103;0
124;02:04;421,65;421,65;61,56;7,67;1064,29;2,59;550,3;1331;0;;93;76;0;5;119;95;;1;3;16;3;99;97,4;0,6;103,2;0
125;02:05;421,81;421,81;61,44;7,97;1411,42;7,18;550,3;1344;0;;93;76;0;5;119;95;;1;3;16;3;99;97,6;0,7;103,1;0
126;02:06;422,28;422,28;63,96;6,05;1404,38;4,48;550,3;1346;0;;93;76;0;5;115;187;;57;16;0;16;260;97,5;0,6;103,1;0
127;02:07;423,18;423,18;63,35;5,69;2210,19;1,12;539,5;1380;0;;91;75;0;5;87;194;;0;13;0;9;207;97,5;0,6;103,1;0
128;02:08;424,02;424,02;62,32;8,35;2382,4;1,18;543,8;1389;0;;91;76;0;5;133;41;;68;11;12;406;120;97,3;0,7;103,2;0
129;02:09;424,42;424,42;61,7;8,72;1646,9;2,1;554,6;1358;0;;93;78;0;5;167;60;;141;10;8;85;211;97,3;0,6;103,2;0
130;02:10;424,47;424,47;61,14;8,57;946,8;6,38;554,6;1323;0;;93;78;0;5;183;0;;0;15;6;9;15;97,3;0,6;103,1;0
131;02:11;425,19;425,19;64,55;5,93;2049,29;3,72;543,8;1371;0;;91;76;0;5;183;0;;0;15;6;9;15;97,3;0,6;103,1;0
132;02:12;425,7;425,7;62,96;9,41;1686,91;1,91;550,3;1357;0;;93;76;0;5;108;85;;0;20;146;0;105;97,3;0,6;103,1;0
133;02:13;426,31;426,31;64,15;5,61;1568,57;1,86;550,3;1351;0;;93;76;0;5;135;59;;32;16;11;190;107;97,3;0,6;103,1;0
134;02:14;427,13;427,13;62,82;4,23;2333,14;1,14;543,8;1388;0;;91;76;0;5;177;153;;0;12;17;20;165;97,4;0,7;103,1;0
135;02:15;427,13;417,93;70,39;0;198,45;0,81;556,7;1299;0;;95;76;0;5;76;19;;0;122;0;62;141;97,4;0,6;103,1;0
136;02:16;427,13;426,01;70,45;0;99,45;0;561,1;1301;0;;95;78;0;5;140;142;;134;24;65;7;300;97,4;0,6;103,1;0
137;02:17;427,13;426,39;70,97;0;34,37;0;561,1;1291;0;;95;78;0;5;161;0;;0;75;36;310;75;97,5;0,6;103;0
138;02:18;427,13;416,92;71,96;0;0;0;121,3;965;0;;0;44;0;5;161;0;;0;75;36;310;75;97,6;0,6;103,1;0
139;02:19;427,13;414,47;33,31;0;0;0;0;0;0;;0;0;0;5;191;0;;0;116;0;2;116;96;0,6;103,1;0
140;02:20;427,13;413,8;11,33;0;33,72;0;0;0;0;;0;0;0;5;75;63;;33;71;0;19;167;93,6;0,6;103,1;0
141;02:21;427,13;413,8;12,35;0;0;0;0;0;0;;0;0;0;5;83;60;;64;15;52;14;139;92,6;0,6;103,1;0
142;02:22;427,13;413,8;11,97;0;0;0;0;0;0;;0;0;0;5;120;321;;60;4;91;257;385;92,1;0,6;103,1;0
143;02:23;427,13;413,63;18,68;0;0;0;0;0;0;;0;0;0;5;106;194;;49;0;9;0;243;91,9;0,7;103,1;0
144;02:24;427,13;425;72,89;0;0;0;457,8;650;0;;63;82;0;5;112;0;;77;13;8;18;90;91,9;0,6;103,1;0
145;02:25;427,13;425,03;72,22;0;93,05;0;565,4;960;0;;95;79;0;5;112;0;;77;13;8;18;90;94,3;0,6;103;0
146;02:26;427,13;426,18;71,7;0;44,55;0;563,2;1304;0;;96;76;0;5;245;74;;0;19;0;5;93;96,2;0,6;103,1;0
147;02:27;427,13;426,81;67,51;0;977,24;0;546;1337;0;;93;75;0;5;93;0;;0;17;105;191;17;97,2;0,6;103,1;0
148;02:28;427,55;427,55;63,18;6,89;2244,3;0,53;539,5;1394;0;;91;75;0;5;102;30;;14;15;17;40;59;97,3;0,6;103,2;0
149;02:29;428,52;428,52;64,2;6,68;2307,89;1,1;543,8;1401;0;;91;76;0;5;111;132;;10;15;2;13;157;97,3;0,6;103,1;0
150;02:30;429,54;429,54;63,52;5,78;2498,76;0,99;539,5;1414;0;;91;75;0;5;63;21;;0;13;18;17;34;97,4;0,7;103,1;0
151;02:31;430,48;430,48;63,82;6,72;2275,87;1,07;539,5;1407;0;;91;75;0;5;123;0;;1;19;0;14;20;97,6;0,6;103,1;0
152;02:32;431,36;431,36;63,47;6,69;2301,7;1,15;539,5;1403;0;;91;75;0;5;123;0;;1;19;0;14;20;97,6;0,6;103,1;0
153;02:33;432,19;432,19;63,39;6,96;2236,72;1,24;539,5;1400;0;;91;75;0;5;109;311;;18;36;205;0;365;97,6;0,6;103,2;0
154;02:34;433,04;433,04;63,6;6,49;2214,7;1,19;543,8;1403;0;;91;76;0;5;71;33;;85;29;18;0;147;97,5;0,6;103,1;0
155;02:35;433,84;433,84;63,46;6,37;2192,67;1,26;543,8;1403;0;;91;76;0;5;73;108;;0;16;13;11;124;97,4;0,6;103,2;0
156;02:36;434,59;434,59;63,32;7,36;2112,88;1,32;550,3;1401;0;;93;76;0;5;336;0;;117;8;0;13;125;97,5;0,6;103;0
157;02:37;435,3;435,3;63,04;7,32;2068,89;1,42;539,5;1401;0;;91;75;0;5;148;36;;0;6;3;244;42;97,4;0,6;103,1;0
158;02:38;435,71;435,71;64,1;1,07;1553,32;1,9;561,1;1379;0;;95;78;0;5;113;10;;0;87;243;37;97;97,3;0,7;103,2;0
159;02:39;435,71;426,26;70,96;0;116,66;1,4;561,1;1316;0;;95;78;0;5;113;10;;0;87;243;37;97;97,4;0,6;103,1;0
160;02:40;435,71;435,16;70,7;0;50,67;0;567,5;1323;0;;96;78;0;5;127;187;;10;0;7;0;197;97,4;0,7;103,1;0
161;02:41;435,71;435,16;71,1;0;68,86;0;563,2;1315;0;;96;76;0;5;108;218;;39;4;8;110;261;97,6;0,6;103,1;0
162;02:42;435,71;435,16;71,13;0;85,58;0;567,5;1313;0;;96;78;0;5;136;46;;0;0;148;0;46;97,7;0,6;103,1;0
163;02:43;435,71;435,16;71,16;0;83,01;0;567,5;1312;0;;96;78;0;5;342;18;;0;50;8;8;68;97,8;0,6;103,1;0
164;02:44;435,71;423,69;72,4;0;19,11;0;56,3;995;0;;0;21;0;5;175;673;;0;4;0;0;677;97,8;0,6;103,1;0
165;02:45;435,71;423,1;26,5;0;19,26;0;0;0;0;;0;0;0;5;113;0;;62;92;12;1;154;96,4;0,6;103,1;0
166;02:46;435,71;423,1;11,44;0;33,26;0;0;0;0;;0;0;0;5;113;0;;62;92;12;1;154;93,9;0,6;103,1;0
167;02:47;435,71;423,1;12,03;0;0;0;0;0;0;;0;0;0;5;124;480;;116;275;8;15;871;92,8;0,6;103;0
168;02:48;435,71;423,1;10,86;0;0;0;0;0;0;;0;0;0;5;227;451;;28;26;0;0;505;92,2;0,6;103,1;0
169;02:49;435,71;427,16;48,17;0;0;0;438;145;0;;79;54;0;5;101;0;;21;14;20;10;35;92;0,7;103,1;0
170;02:50;435,71;434,49;72,87;0;53,29;0;561,1;970;0;;95;78;0;5;141;3;;0;17;9;94;20;92,9;0,7;103,1;0
171;02:51;435,71;435,24;72,32;0;41,07;0;556,7;1324;0;;95;76;0;5;95;102;;0;83;8;0;185;95,4;0,6;103,1;0
172;02:52;435,98;435,98;68,34;4,21;815,66;1,05;546;1353;0;;93;75;0;5;160;0;;0;233;8;0;233;97;0,6;103,2;0
173;02:53;436,88;436,88;64,32;5,63;2335,99;1,35;546;1418;0;;93;75;0;5;160;0;;0;233;8;0;233;97,5;0,6;103;0
174;02:54;437,89;437,89;63,5;6,59;2605,01;1,01;546;1438;0;;93;75;0;5;164;300;;406;12;0;0;718;97,7;0,6;103,1;0
175;02:55;438,71;438,71;63,59;6,74;2301,29;1,05;546;1429;0;;93;75;0;5;469;25;;217;0;0;20;242;97,6;0,6;103,1;0
176;02:56;439,55;439,55;63,79;6,44;2251,58;1,21;550,3;1443;0;;93;76;0;5;88;125;;33;9;18;0;167;97,6;0,6;103,1;0
177;02:57;440,3;440,3;63,62;6,03;2144,49;1,31;552,4;1439;0;;95;75;0;5;85;0;;0;19;941;17;19;97,6;0,6;103;0
178;02:58;441,04;441,04;63,6;6,43;2137,6;1,39;546;1439;0;;93;75;0;5;199;279;;127;0;20;0;406;97,5;0,6;103,1;0
179;02:59;441,86;441,86;63,79;5,78;2168,46;1,25;552,4;1442;0;;95;75;0;7;152;169;;353;20;252;0;542;97,6;0,6;103,1;0
180;03:00;442,57;442,57;63,64;6,17;2064,24;1,39;552,4;1439;0;;95;75;0;5;152;169;;353;20;252;0;542;97,6;0,6;103;0
181;03:01;443,32;443,32;63,73;6,64;2048,67;1,37;552,4;1440;0;;95;75;0;5;275;151;;72;8;20;10;231;97,6;0,6;103;0
182;03:02;443,97;443,97;63,3;7,18;1954,73;1,47;552,4;1434;0;;95;75;0;5;320;201;;0;18;9;1546;219;97,5;0,6;103,1;0
183;03:03;444,46;444,46;63,83;6,16;1721,33;2,04;552,4;1423;0;;95;75;0;5;177;63;;140;530;101;0;733;97,4;0,6;103,1;0
184;03:04;444,97;444,97;63,9;6,14;1720,42;1,96;552,4;1423;0;;95;75;0;5;220;124;;160;100;143;157;384;97,4;0,6;103;0
