,depth (m),bitdepth (m),hook_load (klb),wob (klb),rpm,torque,rop ,flowin (gal/stk),spp (psi),ChockePressure (psi),flowout (%),SPM1 (spm),SPM2 (spm),pitlevel1 (bbl),pitlevel2 (bbl),pitlevel3 (bbl),pitlevel4 (bbl),pitlevel5 (bbl),pitlevel6 (bbl),pitlevel7 (bbl),totalpitlevel (bbl),RPMAnalog,BlockPosition,RPMTotal,H2S (ppm),Kick,Well_Number
50,38.33,27.0,26.0,0.0,,0.0,0,0,7.0,0.0,0.0,0.0,0.0,56.0,86.0,87.0,78.0,87.0,102.0,3.0,496.0,0.0,10.0,0.0,0.0,0.0,0
51,38.33,28.0,25.0,0.0,,0.0,0,0,10.0,0.0,0.0,0.0,0.0,53.0,86.0,87.0,79.0,89.0,102.0,3.0,496.0,0.0,10.0,0.0,0.0,0.0,0
52,38.33,28.0,23.0,0.0,,0.0,0,0,21.0,0.0,0.0,0.0,0.0,51.0,86.0,88.0,80.0,89.0,102.0,3.0,496.0,0.0,9.0,0.0,0.0,0.0,0
53,38.33,28.0,30.0,0.0,,0.0,0,0,7.0,0.0,0.0,0.0,0.0,50.0,86.0,88.0,80.0,89.0,102.0,3.0,495.0,0.0,10.0,0.0,0.0,0.0,0
54,38.33,28.0,40.0,0.0,,0.0,0,242.71,176.0,0.0,26.0,58.0,0.0,49.0,86.0,88.0,80.0,89.0,102.0,3.0,494.0,0.0,10.0,75.0,0.0,0.0,0
55,38.33,29.0,40.0,0.0,,0.0,0,300.61,322.0,0.0,37.0,71.0,0.0,51.0,86.0,87.0,79.0,87.0,102.0,3.0,492.0,0.0,9.0,93.0,0.0,0.0,0
56,38.33,29.0,39.0,0.0,,0.0,0,299.62,345.0,0.0,37.0,71.0,0.0,55.0,86.0,87.0,78.0,85.0,102.0,3.0,493.0,0.0,8.0,92.0,0.0,0.0,0
57,38.33,29.0,40.0,0.0,,0.0,0,301.11,316.0,0.0,37.0,72.0,0.0,59.0,86.0,86.0,77.0,84.0,102.0,3.0,494.0,0.0,8.0,93.0,0.0,0.0,0
58,38.76,30.0,39.0,0.0,,0.0,0,302.12,324.0,0.0,38.0,72.0,0.0,61.0,86.0,86.0,77.0,83.0,102.0,3.0,495.0,0.0,8.0,93.0,0.0,0.0,0
59,38.99,38.0,40.0,0.0,,0.0,0.64,301.12,322.0,0.0,38.0,72.0,0.0,62.0,86.0,85.0,76.0,82.0,102.0,3.0,493.0,0.0,8.0,93.0,0.0,0.0,0
60,39.6,39.0,39.0,2.0,,0.0,2.97,300.12,336.0,0.0,38.0,71.0,0.0,63.0,86.0,85.0,76.0,81.0,102.0,3.0,493.0,0.0,8.0,93.0,0.0,0.0,0
61,40.41,40.0,38.0,2.0,,0.0,2.47,301.11,355.0,0.0,37.0,72.0,0.0,64.0,86.0,85.0,76.0,81.0,102.0,3.0,494.0,0.0,7.0,93.0,0.0,0.0,0
62,41.32,41.0,39.0,3.0,,0.0,1.47,302.12,353.0,0.0,37.0,72.0,0.0,64.0,86.0,85.0,76.0,81.0,102.0,3.0,494.0,0.0,6.0,93.0,0.0,0.0,0
63,41.9,41.0,36.0,7.0,,0.0,1.18,300.61,385.0,0.0,38.0,71.0,0.0,65.0,86.0,85.0,76.0,81.0,102.0,2.0,495.0,0.0,5.0,93.0,0.0,0.0,0
64,42.77,42.0,35.0,6.0,,0.0,1.44,300.61,418.0,0.0,38.0,71.0,0.0,65.0,86.0,85.0,76.0,80.0,102.0,2.0,494.0,0.0,5.0,93.0,0.0,0.0,0
65,44.14,44.0,34.0,6.0,,0.0,1.05,301.11,438.0,0.0,38.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,2.0,493.0,0.0,3.0,93.0,0.0,0.0,0
66,45.02,45.0,35.0,5.0,,0.0,0.82,301.12,402.0,0.0,38.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,2.0,493.0,0.0,2.0,93.0,0.0,0.0,0
67,45.39,45.0,37.0,4.0,,0.0,1.15,299.62,371.0,0.0,38.0,71.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,2.0,493.0,0.0,2.0,92.0,0.0,0.0,0
68,45.89,45.0,37.0,5.0,,0.0,1.15,300.12,364.0,0.0,38.0,71.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,2.0,493.0,0.0,1.0,93.0,0.0,0.0,0
69,46.49,46.0,35.0,6.0,,0.0,1.87,302.63,394.0,0.0,37.0,72.0,0.0,66.0,86.0,85.0,75.0,80.0,102.0,2.0,494.0,0.0,1.0,93.0,0.0,0.0,0
70,47.12,47.0,35.0,6.0,,0.0,2.23,301.12,400.0,0.0,37.0,72.0,0.0,66.0,86.0,85.0,75.0,80.0,102.0,2.0,494.0,1.0,0.0,93.0,0.0,0.0,0
71,47.43,47.0,36.0,6.0,,0.0,1.84,300.61,356.0,0.0,38.0,71.0,0.0,66.0,86.0,85.0,75.0,80.0,102.0,2.0,494.0,0.0,0.0,93.0,0.0,0.0,0
72,47.44,39.0,39.0,0.0,,0.0,0.55,302.12,329.0,0.0,36.0,72.0,0.0,66.0,86.0,85.0,76.0,80.0,102.0,2.0,495.0,0.0,4.0,93.0,0.0,0.0,0
73,47.44,30.0,39.0,0.0,,0.0,0,302.12,330.0,0.0,36.0,72.0,0.0,66.0,86.0,87.0,76.0,80.0,102.0,2.0,497.0,0.0,14.0,93.0,0.0,0.0,0
74,47.44,36.0,40.0,0.0,,0.0,0,299.12,325.0,0.0,38.0,71.0,0.0,65.0,86.0,86.0,75.0,80.0,102.0,2.0,494.0,0.0,14.0,92.0,0.0,0.0,0
75,47.44,46.0,40.0,0.0,,0.0,0,300.12,332.0,0.0,38.0,71.0,0.0,65.0,86.0,86.0,75.0,80.0,102.0,2.0,494.0,0.0,4.0,93.0,0.0,0.0,0
76,47.44,46.0,31.0,0.0,,0.0,0,25.51,58.0,0.0,10.0,6.0,0.0,66.0,86.0,86.0,76.0,81.0,102.0,2.0,497.0,0.0,0.0,7.0,0.0,0.0,0
77,47.44,46.0,25.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,63.0,86.0,87.0,77.0,84.0,102.0,2.0,499.0,0.0,1.0,0.0,0.0,0.0,0
78,47.44,46.0,26.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,58.0,86.0,88.0,78.0,87.0,102.0,2.0,499.0,0.0,10.0,0.0,0.0,0.0,0
79,47.44,46.0,25.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,54.0,86.0,89.0,79.0,88.0,102.0,2.0,498.0,0.0,9.0,0.0,0.0,0.0,0
