Km Atual,Km Troca,Fe,Cr,Pb,Cu,Sn,Al,Ni,Ag,Si,B,Na,Mg,Ca,Ba,P,Zn,Mo,Ti,V,K,Oxi,Nit,Sul,Ful,Agu,Gli,Dil,DiagComb,DiagCont,DiagCorr
277403.0,15203.0,99.0,3.0,17.0,7.0,5.0,12.0,0.0,0.0,12.0,0.0,227.0,615.0,949.0,0.0,958.0,1140.0,13.0,0.0,0.0,4.0,0.08,0.09,0.17,0.63,0.1,0.08,2.0,0,0,0
291821.0,14416.0,116.0,3.0,17.0,6.0,6.0,11.0,0.0,0.0,13.0,0.0,234.0,710.0,1069.0,0.0,1064.0,1267.0,14.0,0.0,0.0,9.0,0.08,0.08,0.17,0.6,0.1,0.08,2.0,0,0,0
309269.0,31865.0,119.0,3.0,22.0,7.0,5.0,11.0,0.0,0.0,12.0,0.0,242.0,714.0,1164.0,0.0,1074.0,1325.0,14.0,0.0,0.0,6.0,0.08,0.09,0.18,0.8,0.1,0.08,2.0,0,0,0
324053.0,45938.0,103.0,2.0,21.0,6.0,5.0,9.0,0.0,0.0,11.0,0.0,213.0,571.0,1383.0,0.0,923.0,1179.0,10.0,0.0,0.0,3.0,0.05,0.09,0.12,0.61,0.1,0.08,2.0,0,0,0
338640.0,15033.0,107.0,6.0,18.0,6.0,5.0,9.0,0.0,0.0,10.0,0.0,40.0,117.0,2139.0,0.0,596.0,751.0,10.0,0.0,0.0,1.0,0.21,0.19,0.16,0.62,0.1,0.08,2.0,0,0,0
352175.0,13534.0,74.0,4.0,13.0,4.0,4.0,8.0,0.0,0.0,7.0,0.0,11.0,32.0,2384.0,0.0,543.0,674.0,8.0,0.0,0.0,1.0,0.14,0.13,0.13,0.45,0.1,0.08,2.0,0,0,0
428190.0,15190.0,146.0,1.0,16.0,10.0,3.0,16.0,0.0,0.0,16.0,0.0,310.0,752.0,1201.0,0.0,1184.0,1522.0,3.0,0.0,0.0,2.0,0.11,0.13,0.23,0.84,0.1,0.08,2.0,0,0,0
442489.0,13243.0,219.0,2.0,18.0,8.0,5.0,17.0,1.0,0.0,19.0,0.0,344.0,979.0,1480.0,0.0,1346.0,1783.0,3.0,0.0,0.0,5.0,0.1,0.12,0.21,1.02,0.1,0.08,2.0,0,0,1
478406.0,15051.0,108.0,1.0,12.0,6.0,3.0,11.0,0.0,0.0,11.0,0.0,32.0,96.0,3292.0,0.0,747.0,923.0,0.0,0.0,0.0,4.0,0.06,0.12,0.12,0.62,0.1,0.08,2.0,0,0,0
492428.0,14384.0,103.0,1.0,11.0,4.0,3.0,10.0,0.0,0.0,10.0,0.0,130.0,380.0,2707.0,0.0,986.0,1206.0,0.0,0.0,0.0,1.0,0.23,0.18,0.13,0.59,0.1,0.08,2.0,0,0,0
507737.0,16068.0,55.0,0.0,7.0,3.0,1.0,7.0,0.0,0.0,6.0,0.0,4.0,21.0,3492.0,0.0,742.0,937.0,0.0,0.0,0.0,0.0,0.06,0.11,0.1,0.5,0.1,0.08,2.0,0,0,0
425502.0,10134.0,211.0,6.0,14.0,64.0,4.0,17.0,0.0,0.0,23.0,0.0,237.0,548.0,890.0,0.0,863.0,1097.0,29.0,0.0,0.0,1.0,0.11,0.09,0.25,0.69,0.1,0.08,2.0,0,2,2
432831.0,7135.0,88.0,3.0,8.0,11.0,4.0,8.0,0.0,0.0,13.0,0.0,235.0,699.0,1105.0,0.0,1072.0,1305.0,12.0,0.0,0.0,4.0,0.06,0.05,0.11,0.48,0.1,0.08,2.0,0,0,0
444945.0,9716.0,88.0,2.0,11.0,6.0,3.0,8.0,0.0,0.0,11.0,0.0,272.0,689.0,1059.0,0.0,1100.0,1452.0,11.0,0.0,0.0,4.0,0.03,0.03,0.13,0.43,0.1,0.08,2.0,0,0,0
455866.0,11403.0,129.0,3.0,11.0,5.0,4.0,8.0,0.0,0.0,12.0,0.0,240.0,713.0,1097.0,2.0,1023.0,1315.0,11.0,0.0,0.0,5.0,0.05,0.04,0.13,0.35,0.1,0.08,2.0,0,0,0
466332.0,10952.0,60.0,2.0,19.0,3.0,2.0,4.0,0.0,0.0,6.0,0.0,13.0,36.0,1087.0,0.0,268.0,340.0,5.0,0.0,0.0,2.0,0.07,0.09,0.03,-0.0,0.1,0.08,8.12,0,2,0
479940.0,11868.0,74.0,4.0,17.0,6.0,4.0,8.0,0.0,0.0,9.0,0.0,7.0,31.0,2635.0,0.0,589.0,732.0,7.0,0.0,0.0,0.0,0.05,0.09,0.1,0.29,0.1,0.08,2.0,0,0,0
489588.0,9769.0,107.0,3.0,15.0,5.0,3.0,7.0,0.0,0.0,11.0,0.0,199.0,561.0,1345.0,0.0,939.0,1223.0,5.0,0.0,0.0,2.0,0.1,0.08,0.13,0.24,0.1,0.08,2.0,0,0,0
499264.0,19888.0,81.0,4.0,15.0,3.0,4.0,7.0,0.0,0.0,8.0,0.0,19.0,60.0,2730.0,0.0,633.0,782.0,4.0,0.0,0.0,1.0,0.08,0.12,0.12,0.28,0.1,0.08,2.0,0,0,0
397299.0,7570.0,124.0,2.0,14.0,7.0,5.0,9.0,0.0,0.0,13.0,0.0,256.0,625.0,1103.0,0.0,1033.0,1378.0,14.0,0.0,0.0,10.0,0.04,0.09,0.13,0.39,0.3,0.08,2.0,0,1,0
406449.0,7858.0,114.0,3.0,9.0,5.0,4.0,9.0,0.0,0.0,13.0,0.0,244.0,746.0,1166.0,0.0,1130.0,1386.0,13.0,0.0,0.0,5.0,0.08,0.06,0.14,0.42,0.1,0.08,2.0,0,0,0
437111.0,9325.0,135.0,3.0,18.0,11.0,4.0,9.0,0.0,0.0,11.0,0.0,212.0,598.0,1580.0,0.0,1047.0,1335.0,8.0,0.0,0.0,5.0,0.08,0.1,0.14,0.67,0.1,0.08,2.0,0,0,0
448714.0,11632.0,100.0,5.0,23.0,7.0,3.0,10.0,0.0,0.0,11.0,0.0,28.0,74.0,2621.0,0.0,660.0,875.0,8.0,0.0,0.0,0.0,0.07,0.12,0.13,0.47,0.1,0.08,2.0,0,0,0
459651.0,11489.0,82.0,4.0,19.0,5.0,4.0,8.0,0.0,0.0,9.0,0.0,48.0,150.0,2400.0,0.0,704.0,913.0,7.0,0.0,0.0,4.0,0.1,0.13,0.14,0.41,0.1,0.08,2.0,0,0,0
470292.0,9788.0,72.0,3.0,11.0,4.0,3.0,8.0,0.0,0.0,7.0,0.0,7.0,25.0,2715.0,0.0,618.0,806.0,5.0,0.0,0.0,0.0,0.12,0.16,0.14,0.42,0.1,0.08,2.0,0,0,0
340485.0,7476.0,62.0,2.0,9.0,5.0,3.0,8.0,1.0,0.0,10.0,0.0,255.0,599.0,1091.0,0.0,1039.0,1402.0,13.0,0.0,0.0,6.0,0.06,0.08,0.11,0.37,0.1,0.08,2.0,0,0,0
350699.0,7679.0,40.0,1.0,2.0,3.0,3.0,5.0,0.0,0.0,8.0,0.0,270.0,715.0,1020.0,0.0,905.0,1121.0,8.0,0.0,0.0,4.0,0.05,0.04,0.11,0.38,0.1,0.08,2.0,0,0,0
361337.0,10638.0,66.0,2.0,10.0,4.0,4.0,9.0,1.0,0.0,11.0,0.0,246.0,735.0,1085.0,0.0,1085.0,1338.0,14.0,0.0,0.0,9.0,0.06,0.05,0.13,0.29,0.1,0.08,2.0,0,0,0
381559.0,10226.0,59.0,2.0,10.0,3.0,3.0,8.0,0.0,0.0,9.0,0.0,221.0,588.0,1247.0,0.0,950.0,1158.0,10.0,0.0,0.0,5.0,0.05,0.05,0.11,0.28,0.1,0.08,2.0,0,0,0
390462.0,9078.0,48.0,2.0,6.0,2.0,3.0,5.0,0.0,0.0,5.0,0.0,20.0,61.0,2641.0,0.0,644.0,768.0,5.0,0.0,0.0,5.0,0.03,0.07,0.07,0.26,0.1,0.08,2.0,0,0,0
401208.0,29775.0,48.0,2.0,7.0,3.0,3.0,6.0,0.0,0.0,7.0,0.0,16.0,50.0,2512.0,0.0,572.0,708.0,6.0,0.0,0.0,3.0,0.05,0.09,0.08,0.21,0.1,0.08,2.0,0,0,0
409148.0,7891.0,40.0,1.0,2.0,2.0,3.0,5.0,0.0,0.0,6.0,0.0,32.0,107.0,2715.0,0.0,665.0,784.0,5.0,0.0,0.0,2.0,0.06,0.1,0.1,0.18,0.1,0.08,2.0,0,0,0
420256.0,8315.0,40.0,1.0,6.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,5.0,20.0,2413.0,0.0,541.0,712.0,5.0,0.0,0.0,0.0,0.07,0.11,0.09,0.17,0.1,0.08,2.0,0,0,0
